	count	mean	std	close(<5bp)	far(>5bp)	TA	TG	TC	CT	CA	CG
2457_1	14	3563.5	3239.44234873	2	12.0	1.0	2.0	3.0	1.0	3.0	4.0
2457_3	20	3298.9	3526.1920851	5	15.0	2.0	4.0	4.0	4.0	1.0	5.0
2821B	78	3504.94871795	3469.26832698	18	60.0	10.0	6.0	7.0	31.0	11.0	13.0
3311A_1	1	1.0		1							1.0
3311A_3	1	2.0		1			1.0				
3326A_3	26	2540.03846154	2559.47972027	5	21.0	2.0	4.0	2.0	10.0	4.0	4.0
3326B_4	17	3855.35294118	3104.02919488	3	14.0	1.0	2.0		7.0	3.0	4.0
3326C	1	1.0		1		1.0					
3484	14	1378.85714286	2421.45289689	9	5.0	3.0	2.0	1.0	4.0	3.0	1.0
3762A_1	6	3753.66666667	3976.84486329	2	4.0				3.0	2.0	1.0
3762A_5	6	3973.0	3612.08848175	2	4.0	1.0		1.0		2.0	2.0
3762B	1	2.0		1				1.0			
4043A_1	66	2680.3030303	2546.43415822	7	59.0	7.0	9.0	11.0	24.0	8.0	7.0
4043A_4	80	3962.7625	3379.6721032	7	73.0	3.0	6.0	12.0	40.0	14.0	5.0
4333	5	3331.2	4083.9759059	2	3.0			3.0	1.0		1.0
4633A_A-S2	5	1999.6	2882.26391921	2	3.0		2.0		2.0	1.0	
4633A_B-S3	5	1302.0	2908.00644772	4	1.0	3.0	1.0				1.0
4633A_C-S4	2	2.5	0.707106781187	2				1.0			1.0
4633B_C-S5	2	1.5	0.707106781187	2				1.0		1.0	
4856_1	55	3378.47272727	3237.6682216	13	42.0	10.0	5.0	10.0	16.0	4.0	10.0
4856_3	135	4200.17037037	2993.23708248	16	119.0	16.0	11.0	27.0	48.0	21.0	12.0
