	count	mean	std	close(<5bp)	far(>5bp)	TA	TG	TC	CT	CA	CG
2457_1	30	3605.43333333	2915.62156008	1.0	29			1.0	8	10.0	11.0
2457_3	35	3971.71428571	3176.52961368	1.0	34		1.0		14	10.0	10.0
2821B	182	4131.43406593	2972.80730347		182	17.0	14.0	23.0	54	28.0	46.0
3311A_1	2	6521.0	2067.58022819		2				2		
3311A_3	1	8827.0			1				1		
4043A_1	720	3611.94583333	2852.79746093		720	11.0	40.0	25.0	420	105.0	119.0
4043A_4	766	3648.54308094	2834.77899453	5.0	761	16.0	38.0	27.0	459	107.0	119.0
4333	29	3341.86206897	3109.54917178		29			4.0	11	8.0	6.0
4856_1	66	2280.66666667	2305.5015562		66	2.0	5.0	3.0	25	7.0	24.0
4856_3	57	2365.12280702	2408.46128317		57	3.0	6.0	1.0	30	5.0	12.0
