sample	breakpoint	score
2457_1	34993932	1
2457_1	40151586	1
2457_1	40152494	1
2457_1	52271524	1
2457_1	106085712	1
2457_3	34993932	1
2457_3	35082961	1
2457_3	40151582	1
2457_3	40151586	1
2457_3	40152573	1
2457_3	55731980	1
2457_3	106085709	1
2821B	3277782	1
2821B	16119380	1
2821B	33910541	1
2821B	47502217	1
2821B	53234764	2
2821B	57317901	2
2821B	58776403	1
2821B	59928414	1
2821B	61351089	1
2821B	61351356	1
2821B	62924635	1
2821B	67943631	1
2821B	67944116	1
2821B	69699091	2
2821B	71331945	1
2821B	73510310	1
2821B	74162855	1
2821B	81903363	1
2821B	84498628	1
2821B	91750284	1
2821B	91833476	1
2821B	91834202	1
2821B	94650090	2
2821B	101175195	1
2821B	101458925	1
2821B	117579092	2
2821B	130664506	1
2821B	137112997	1
2821B	165443318	1
2821B	223923144	1
4043A_1	242054	1
4043A_1	267737	1
4043A_1	268203	1
4043A_1	281452	1
4043A_1	281805	1
4043A_1	647696	1
4043A_1	2638217	1
4043A_1	3490815	1
4043A_1	3595996	1
4043A_1	3644441	1
4043A_1	3820855	2
4043A_1	3821605	2
4043A_1	3823539	2
4043A_1	3823968	1
4043A_1	7005436	2
4043A_1	7313033	1
4043A_1	8493456	1
4043A_1	10451127	2
4043A_1	12625597	1
4043A_1	16011594	1
4043A_1	16013466	1
4043A_1	17059300	1
4043A_1	21068381	1
4043A_1	21738705	1
4043A_1	22051965	1
4043A_1	23579784	1
4043A_1	23580527	1
4043A_1	27314164	1
4043A_1	27910888	1
4043A_1	27910889	1
4043A_1	27910924	1
4043A_1	27910985	1
4043A_1	27911074	1
4043A_1	28320820	1
4043A_1	28335770	1
4043A_1	28635117	2
4043A_1	29661197	1
4043A_1	31139142	2
4043A_1	34441952	1
4043A_1	34973041	1
4043A_1	37033652	1
4043A_1	38412225	1
4043A_1	40569794	1
4043A_1	41336176	2
4043A_1	45600597	2
4043A_1	46073835	1
4043A_1	52452052	1
4043A_1	52452916	1
4043A_1	52453540	1
4043A_1	55145495	1
4043A_1	55586981	1
4043A_1	55685881	1
4043A_1	56334977	2
4043A_1	57652859	1
4043A_1	57659722	2
4043A_1	57667334	1
4043A_1	59617380	1
4043A_1	59840432	2
4043A_1	59841170	1
4043A_1	59841323	1
4043A_1	60537662	1
4043A_1	60540006	1
4043A_1	61999857	1
4043A_1	62510471	2
4043A_1	65177929	1
4043A_1	65178027	1
4043A_1	65178037	1
4043A_1	65178147	1
4043A_1	65178153	1
4043A_1	65178331	1
4043A_1	65178433	1
4043A_1	65178445	1
4043A_1	65178468	1
4043A_1	65178469	1
4043A_1	65178520	1
4043A_1	65955478	1
4043A_1	66108353	2
4043A_1	68160861	2
4043A_1	68164027	1
4043A_1	68164051	1
4043A_1	69461191	1
4043A_1	70567500	1
4043A_1	73911571	1
4043A_1	73912638	2
4043A_1	73912724	2
4043A_1	74332219	1
4043A_1	75501680	1
4043A_1	75505936	1
4043A_1	77684095	1
4043A_1	77690044	2
4043A_1	77690283	2
4043A_1	77692030	1
4043A_1	78150337	2
4043A_1	78342539	1
4043A_1	78342552	1
4043A_1	78610628	1
4043A_1	78610644	1
4043A_1	78613588	1
4043A_1	78772853	1
4043A_1	78774370	1
4043A_1	80677164	1
4043A_1	81262727	1
4043A_1	81287598	1
4043A_1	83561745	1
4043A_1	85023373	2
4043A_1	85137876	1
4043A_1	86313487	1
4043A_1	86313491	1
4043A_1	91804096	1
4043A_1	105317065	1
4043A_1	118015681	1
4043A_1	118016441	1
4043A_1	122709677	1
4043A_1	126838797	1
4043A_1	146033456	1
4043A_1	153190722	1
4043A_1	153650162	1
4043A_1	153650283	1
4043A_1	153650462	1
4043A_1	153650632	1
4043A_1	153659981	2
4043A_1	153900471	1
4043A_1	153900473	1
4043A_1	160574764	1
4043A_1	173702554	1
4043A_1	173702579	1
4043A_1	173702595	1
4043A_1	173703053	1
4043A_1	173703087	1
4043A_1	173703142	1
4043A_1	173703163	1
4043A_1	186788422	2
4043A_4	242050	1
4043A_4	242485	1
4043A_4	272220	1
4043A_4	647696	1
4043A_4	648256	1
4043A_4	2638217	1
4043A_4	3490815	1
4043A_4	3595996	1
4043A_4	3644441	1
4043A_4	3820857	2
4043A_4	3821241	2
4043A_4	3821605	2
4043A_4	3823539	1
4043A_4	4625392	1
4043A_4	4625716	1
4043A_4	7005436	4
4043A_4	7337436	1
4043A_4	8493456	1
4043A_4	12625599	1
4043A_4	14775931	1
4043A_4	14775943	1
4043A_4	16552259	1
4043A_4	17059300	1
4043A_4	21068381	1
4043A_4	22051965	1
4043A_4	27314164	1
4043A_4	27910818	1
4043A_4	27910877	1
4043A_4	27910889	1
4043A_4	28320820	1
4043A_4	28335770	1
4043A_4	28635117	2
4043A_4	29661197	1
4043A_4	30353818	2
4043A_4	34441952	1
4043A_4	34707122	1
4043A_4	34973041	1
4043A_4	37033627	1
4043A_4	37527839	2
4043A_4	38412225	1
4043A_4	40540140	1
4043A_4	40569794	1
4043A_4	41336176	2
4043A_4	42965689	1
4043A_4	45561125	1
4043A_4	45600595	2
4043A_4	45977010	3
4043A_4	46073797	1
4043A_4	52452598	1
4043A_4	52452627	1
4043A_4	52453540	1
4043A_4	52453735	1
4043A_4	53812056	1
4043A_4	53813013	1
4043A_4	55145525	1
4043A_4	55146936	1
4043A_4	55585515	1
4043A_4	55586981	1
4043A_4	55685881	2
4043A_4	56334977	1
4043A_4	56337919	3
4043A_4	57652629	1
4043A_4	57652630	1
4043A_4	57659721	2
4043A_4	57667334	1
4043A_4	57730456	1
4043A_4	59617380	1
4043A_4	59709145	1
4043A_4	59840500	2
4043A_4	59841323	1
4043A_4	60537662	1
4043A_4	61999851	1
4043A_4	61999852	1
4043A_4	62510471	2
4043A_4	63257225	1
4043A_4	65177929	1
4043A_4	65177995	1
4043A_4	65178026	1
4043A_4	65178037	1
4043A_4	65178147	1
4043A_4	65178153	1
4043A_4	65178331	1
4043A_4	65178433	1
4043A_4	65178434	1
4043A_4	65178445	1
4043A_4	65178469	2
4043A_4	65351149	1
4043A_4	65955470	1
4043A_4	66999192	1
4043A_4	68160861	2
4043A_4	68403464	1
4043A_4	68404675	1
4043A_4	69133350	1
4043A_4	69394335	1
4043A_4	69461191	1
4043A_4	70567500	1
4043A_4	72182023	1
4043A_4	73912647	2
4043A_4	73912724	2
4043A_4	74332219	1
4043A_4	75505936	1
4043A_4	77684095	1
4043A_4	77690044	2
4043A_4	77690283	2
4043A_4	77922255	1
4043A_4	78342715	2
4043A_4	78613588	1
4043A_4	78772854	1
4043A_4	78774370	1
4043A_4	80677164	1
4043A_4	81287598	1
4043A_4	81759235	1
4043A_4	83561745	1
4043A_4	85137963	1
4043A_4	86313487	3
4043A_4	86313491	3
4043A_4	86313717	2
4043A_4	86339991	1
4043A_4	91804100	1
4043A_4	103519165	1
4043A_4	105317065	1
4043A_4	117145463	1
4043A_4	118015681	1
4043A_4	118016440	1
4043A_4	122729426	1
4043A_4	124040779	1
4043A_4	146033456	1
4043A_4	150273788	1
4043A_4	153650162	1
4043A_4	153650283	1
4043A_4	153650632	1
4043A_4	153659981	2
4043A_4	173702554	1
4043A_4	173702579	1
4043A_4	173702887	1
4043A_4	173703034	1
4043A_4	173703053	1
4043A_4	173703087	1
4043A_4	173703142	1
4043A_4	175060641	1
4043A_4	175389039	1
4043A_4	181549971	1
4043A_4	186788422	2
4043A_4	192427804	1
4333	100959087	1
4333	102591310	1
4333	103203999	1
4333	115972218	2
4333	157429692	2
4856_1	11502669	1
4856_1	17922842	1
4856_1	23111578	3
4856_1	24069260	2
4856_1	25193559	3
4856_1	25431272	2
4856_1	35446961	3
4856_1	38018061	2
4856_1	42333534	2
4856_1	56684845	1
4856_1	60390425	1
4856_1	61505860	1
4856_1	85180307	1
4856_1	115239413	1
4856_1	125721242	1
4856_1	152243165	2
4856_3	11502668	1
4856_3	14340297	1
4856_3	17922842	1
4856_3	25193559	3
4856_3	25193560	3
4856_3	35446960	3
4856_3	38017975	4
4856_3	55392619	1
4856_3	60390425	1
4856_3	61505860	1
4856_3	84254671	1
4856_3	85180307	1
4856_3	125721270	1
4856_3	144687885	1
4856_3	152243165	2
