sample	breakpoint	score
2457_1	9464274	1
2457_1	34993932	1
2457_1	34999372	2
2457_1	35006186	1
2457_1	35803073	1
2457_1	35803395	1
2457_1	36038844	1
2457_1	36039406	1
2457_1	36068747	1
2457_1	37024019	1
2457_1	37025052	1
2457_1	37704795	1
2457_1	40151296	1
2457_1	40151297	1
2457_1	40151586	1
2457_1	40152494	1
2457_1	40193822	2
2457_1	40197371	2
2457_1	40428475	2
2457_1	40480536	1
2457_1	52271524	2
2457_1	83495702	1
2457_1	106085712	1
2457_1	129647150	1
2457_1	216514124	1
2457_3	3565686	1
2457_3	18778165	1
2457_3	29714887	1
2457_3	34993932	1
2457_3	34999372	2
2457_3	35006186	1
2457_3	35076239	1
2457_3	35082961	1
2457_3	35464595	1
2457_3	35803073	1
2457_3	35803437	1
2457_3	36068759	1
2457_3	37024019	1
2457_3	37025052	1
2457_3	37704770	1
2457_3	40151296	1
2457_3	40151297	1
2457_3	40151582	1
2457_3	40151586	1
2457_3	40152573	1
2457_3	40193822	2
2457_3	40197369	2
2457_3	40421545	2
2457_3	40428475	2
2457_3	40480539	1
2457_3	55731980	1
2457_3	106085709	1
2457_3	106089328	1
2457_3	106094221	1
2457_3	160354010	1
2821B	1559985	1
2821B	2401122	1
2821B	2591380	1
2821B	3277782	1
2821B	3841738	1
2821B	3902315	1
2821B	7035297	1
2821B	16062804	1
2821B	16119380	1
2821B	18831952	1
2821B	19552948	1
2821B	22994820	1
2821B	23168450	1
2821B	27910444	2
2821B	29292539	1
2821B	31286727	1
2821B	31910047	1
2821B	33405589	1
2821B	33901613	1
2821B	33910541	2
2821B	34280376	1
2821B	34385422	1
2821B	34397640	1
2821B	34496333	1
2821B	34782182	1
2821B	46223161	1
2821B	47502217	1
2821B	47985539	1
2821B	48915684	1
2821B	49098405	1
2821B	50177345	1
2821B	50687673	2
2821B	50689508	2
2821B	50690056	2
2821B	50690599	2
2821B	51235732	1
2821B	51652872	1
2821B	52344798	1
2821B	52503986	1
2821B	52646930	1
2821B	53234764	2
2821B	54449266	1
2821B	54987427	2
2821B	55016115	1
2821B	55423976	1
2821B	55459523	1
2821B	56102095	1
2821B	57317901	2
2821B	58776403	1
2821B	59919369	2
2821B	59928414	2
2821B	60763739	1
2821B	61351089	1
2821B	61351356	1
2821B	61432615	1
2821B	61481476	1
2821B	61537769	2
2821B	61541927	2
2821B	61542207	2
2821B	62838082	1
2821B	62924635	4
2821B	62928696	1
2821B	63353340	2
2821B	66957304	1
2821B	67943631	1
2821B	67944116	1
2821B	69699091	2
2821B	71331945	3
2821B	73504716	1
2821B	73510310	1
2821B	74162855	1
2821B	74719197	1
2821B	77442193	1
2821B	81175203	1
2821B	81498458	1
2821B	81903363	1
2821B	83416873	1
2821B	83416891	1
2821B	84442266	1
2821B	84498229	1
2821B	84498628	1
2821B	85806067	1
2821B	86441364	1
2821B	89871625	3
2821B	89872093	3
2821B	89872675	3
2821B	89873332	3
2821B	89873556	3
2821B	89874032	3
2821B	90040314	2
2821B	91516498	1
2821B	91729761	1
2821B	91730471	1
2821B	91730751	1
2821B	91747622	1
2821B	91750284	1
2821B	91757698	2
2821B	91831653	1
2821B	91833476	1
2821B	91834202	1
2821B	93677964	1
2821B	94650090	3
2821B	97202618	1
2821B	101175195	1
2821B	101458925	1
2821B	101459454	1
2821B	104805148	1
2821B	104825992	2
2821B	106683527	1
2821B	108035018	1
2821B	108580480	1
2821B	108749142	1
2821B	111031777	1
2821B	117579092	2
2821B	117585972	2
2821B	121089173	1
2821B	121287591	1
2821B	121322977	1
2821B	122084240	1
2821B	127648281	1
2821B	130664506	1
2821B	130666995	1
2821B	131238812	1
2821B	133203698	1
2821B	136949379	1
2821B	137112997	2
2821B	138063546	1
2821B	140723724	1
2821B	141950175	1
2821B	143976367	1
2821B	165443318	1
2821B	166354190	3
2821B	202768857	1
2821B	206313620	1
2821B	212805464	1
2821B	223923144	2
2821B	235677834	1
2821B	235783446	1
3311A_1	189402214	1
3311A_1	189405138	1
3311A_3	17216820	1
4043A_1	242054	1
4043A_1	249989	1
4043A_1	267737	1
4043A_1	268203	1
4043A_1	281452	1
4043A_1	281805	1
4043A_1	290602	1
4043A_1	640457	1
4043A_1	647696	1
4043A_1	1774688	1
4043A_1	2638217	1
4043A_1	2909002	1
4043A_1	2913545	1
4043A_1	2915540	1
4043A_1	2916459	1
4043A_1	3093309	2
4043A_1	3215722	2
4043A_1	3216392	2
4043A_1	3219122	2
4043A_1	3482930	8
4043A_1	3483227	8
4043A_1	3490815	8
4043A_1	3492980	8
4043A_1	3534752	2
4043A_1	3595996	1
4043A_1	3642859	1
4043A_1	3644441	1
4043A_1	3813335	4
4043A_1	3820855	4
4043A_1	3821605	4
4043A_1	3823539	4
4043A_1	3823968	4
4043A_1	4501645	1
4043A_1	5239075	1
4043A_1	6457550	1
4043A_1	6823946	1
4043A_1	7005436	2
4043A_1	7262411	1
4043A_1	7313033	2
4043A_1	7323547	7
4043A_1	7323752	6
4043A_1	7323804	6
4043A_1	7324662	7
4043A_1	8492151	4
4043A_1	8493456	4
4043A_1	8574372	1
4043A_1	10451127	2
4043A_1	12625597	3
4043A_1	12865436	1
4043A_1	13698566	1
4043A_1	16011594	2
4043A_1	16013466	2
4043A_1	17059300	1
4043A_1	20302253	1
4043A_1	21068381	1
4043A_1	21736340	1
4043A_1	21736341	1
4043A_1	21736775	1
4043A_1	21736816	1
4043A_1	21737205	1
4043A_1	21738705	1
4043A_1	22051965	1
4043A_1	23579784	1
4043A_1	23580527	1
4043A_1	23664873	2
4043A_1	27314164	1
4043A_1	27903124	1
4043A_1	27903289	1
4043A_1	27907116	1
4043A_1	27907200	1
4043A_1	27907277	1
4043A_1	27907319	1
4043A_1	27907370	1
4043A_1	27907394	1
4043A_1	27909291	1
4043A_1	27909299	1
4043A_1	27909321	1
4043A_1	27910888	1
4043A_1	27910889	1
4043A_1	27910924	1
4043A_1	27910985	1
4043A_1	27911074	1
4043A_1	27912232	1
4043A_1	27912908	1
4043A_1	27913114	1
4043A_1	27913305	1
4043A_1	28320820	1
4043A_1	28335770	1
4043A_1	28430660	1
4043A_1	28635117	2
4043A_1	28637269	2
4043A_1	28637275	2
4043A_1	29661197	1
4043A_1	30077035	1
4043A_1	30321692	3
4043A_1	30349282	1
4043A_1	31132815	2
4043A_1	31133215	2
4043A_1	31133227	2
4043A_1	31133712	2
4043A_1	31139142	2
4043A_1	31357940	3
4043A_1	32440729	1
4043A_1	34441952	3
4043A_1	34455118	2
4043A_1	34973041	10
4043A_1	37033652	1
4043A_1	37518215	4
4043A_1	38412225	1
4043A_1	40569794	1
4043A_1	41135287	1
4043A_1	41336176	3
4043A_1	41337786	3
4043A_1	45600597	3
4043A_1	46073835	7
4043A_1	52448542	1
4043A_1	52448564	1
4043A_1	52448680	1
4043A_1	52448724	1
4043A_1	52448731	1
4043A_1	52448739	1
4043A_1	52448743	1
4043A_1	52448753	1
4043A_1	52449378	1
4043A_1	52449488	1
4043A_1	52449537	1
4043A_1	52450509	1
4043A_1	52452052	1
4043A_1	52452916	1
4043A_1	52453540	1
4043A_1	52459054	1
4043A_1	52459566	1
4043A_1	52460014	1
4043A_1	52460096	1
4043A_1	52460173	1
4043A_1	52460258	1
4043A_1	52748595	1
4043A_1	55142654	1
4043A_1	55143016	1
4043A_1	55143336	1
4043A_1	55143756	1
4043A_1	55145495	1
4043A_1	55586981	1
4043A_1	55685881	1
4043A_1	56329669	8
4043A_1	56334977	9
4043A_1	56335919	9
4043A_1	57051989	3
4043A_1	57652859	9
4043A_1	57659722	14
4043A_1	57667334	10
4043A_1	57667661	10
4043A_1	57886144	1
4043A_1	58008513	5
4043A_1	58021082	5
4043A_1	58643515	1
4043A_1	58644130	1
4043A_1	58728806	1
4043A_1	59469843	1
4043A_1	59617380	8
4043A_1	59691933	2
4043A_1	59840432	3
4043A_1	59841170	3
4043A_1	59841323	3
4043A_1	60103938	2
4043A_1	60537662	3
4043A_1	60540006	3
4043A_1	61914058	1
4043A_1	61999857	6
4043A_1	62510471	2
4043A_1	63195549	3
4043A_1	63196391	3
4043A_1	63674531	1
4043A_1	65151100	1
4043A_1	65177929	1
4043A_1	65178027	1
4043A_1	65178037	1
4043A_1	65178147	1
4043A_1	65178153	1
4043A_1	65178331	1
4043A_1	65178433	1
4043A_1	65178445	1
4043A_1	65178468	1
4043A_1	65178469	1
4043A_1	65178520	1
4043A_1	65955478	1
4043A_1	66108353	3
4043A_1	66512652	1
4043A_1	66537979	1
4043A_1	66697806	1
4043A_1	66698111	1
4043A_1	67182975	1
4043A_1	68060061	8
4043A_1	68160861	12
4043A_1	68164027	12
4043A_1	68164051	12
4043A_1	68392558	1
4043A_1	68392703	1
4043A_1	68392705	1
